room_title,woe_room_url,tag_id,tag
"Escape room ""Pharaoh's Quest"" by Rockville Escape Rooms in Rockville",https://worldofescapes.com/rockville/quests/rockville-escape-rooms-pharaohs-quest,1,Up to eight players
"Escape room ""Trapped: Escape Fort Nisqually"" by Fort Nisqually Living History Museum in Tacoma",https://worldofescapes.com/tacoma/quests/fort-nisqually-living-history-museum-trapped-escape-fort-nisqually,0,Detective
"Escape room ""Trapped: Escape Fort Nisqually"" by Fort Nisqually Living History Museum in Tacoma",https://worldofescapes.com/tacoma/quests/fort-nisqually-living-history-museum-trapped-escape-fort-nisqually,1,Adventure
"Escape room ""Trapped: Escape Fort Nisqually"" by Fort Nisqually Living History Museum in Tacoma",https://worldofescapes.com/tacoma/quests/fort-nisqually-living-history-museum-trapped-escape-fort-nisqually,2,Historic
"Escape room ""Trapped: Escape Fort Nisqually"" by Fort Nisqually Living History Museum in Tacoma",https://worldofescapes.com/tacoma/quests/fort-nisqually-living-history-museum-trapped-escape-fort-nisqually,3,Up to ten players
"Escape room ""Duck and Cover Classroom"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-duck-and-cover-classroom,0,Public Ticketing
"Escape room ""Duck and Cover Classroom"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-duck-and-cover-classroom,1,Top Secret
"Escape room ""Duck and Cover Classroom"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-duck-and-cover-classroom,2,Up to eight players
"Escape room ""Mafioso"" by Live Game Escape in Salt Lake City",https://worldofescapes.com/slc/quests/live-game-escape-mafioso,0,Public Ticketing
"Escape room ""Mafioso"" by Live Game Escape in Salt Lake City",https://worldofescapes.com/slc/quests/live-game-escape-mafioso,1,Up to eight players
"Escape room ""The Hike"" by Escape Again Rooms in Houston",https://worldofescapes.com/houston/quests/escape-again-rooms-the-hike,0,Public Ticketing
"Escape room ""The Hike"" by Escape Again Rooms in Houston",https://worldofescapes.com/houston/quests/escape-again-rooms-the-hike,1,Halloween
"Escape room ""The Hike"" by Escape Again Rooms in Houston",https://worldofescapes.com/houston/quests/escape-again-rooms-the-hike,2,ADA compliant
