room_title,woe_room_url,room_address,room_description,player_range,time_limit,difficulty_level,fear_level,age_requirement,success_rate,min_players,max_players,time_limit_str,minimum_age,difficulty_int,fear_int,query_address,room_latitude,room_longitude
"Escape room ""Mystery Manor"" by The Prism Escape Rooms in Los Angeles",https://worldofescapes.com/los-angeles/quests/the-prism-escape-rooms-mystery-manor,"17151 Newhope St, STE 108, Fountain Valley, CA 92708","After hours of interrogation, none of the suspects seemed remorseful for Pearl Hamilton's death. Interesting, but unhelpful. Your chief can only hold the suspects for one more hour without any evidence, so he sends out his best detectives to solve this case. When you get to the scene of the crime, there's not a thing out of place. As you keep digging, you find there's much more to this polymath than you thought...",2-6,60,Average,Not scary,8+,None,2,6,60 minutes,8,1,0,"17151 Newhope St #108, Fountain Valley, CA 92708, USA",33.7142276,-117.9289853
"Escape room ""The Caretaker"" by America's Escape Game in Orlando",https://worldofescapes.com/orlando/quests/America-s-Escape-Game-THE-CARETAKER,"8723 International Dr #115 Orlando, FL 32819",Deep within these woods lives a hermit the locals have come to know as The Caretaker. He has no hope to escape the terror that lurks in the woods around him without your help! Move quickly and quietly as Caretaker’s life depends on it.,2-5,60,Very difficult,Scary,14+,0.08,2,5,60 minutes,14,3,2,"8723 International Dr #115, Orlando, FL 32819, USA",28.4387332,-81.47020850000001
"Escape room ""The Box"" by Escape Enterprise in Daleville",https://worldofescapes.com/daleville/quests/escape-enterprise-the-box,"1018 Rucker Blvd Suite A/B Enterprise, AL 36330","You and a group of operatives have been tasked with recovering an artifact stolen from the pea river historical society here in Enterprise, AL. You must recover the artifact and escape the shipping container that it was stowed in before the boat reaches international waters.

",2-8,60,Average,Not scary,,None,2,8,60 minutes,nan,1,0,"1018 Rucker Blvd Suite A/B, Enterprise, AL 36330, USA",31.3249969,-85.822525
"Escape room ""The Royal Suite"" by Escape This in Hesperia",https://worldofescapes.com/hesperia/quests/escape-this-the-royal-suite,"10178 I Ave Suite D Hesperia, CA 92345","The dream has come true! You and your friends hold the winning lottery ticket. To celebrate you reserve the swankiest suite in town-The Royal Suite. Now as you wake up, you realize things got a little out of hand and none of you can find the ticket. There is a chance you can sneak back into the room, but time will be ticking. Can you find the winning lottery ticket and escape the Royal Suite? Or will you give up on winning it big?",2-8,60,Average,Not scary,16+,None,2,8,60 minutes,16,1,0,"10178 I Ave Suite D, Hesperia, CA 92345, USA",34.4361186,-117.2802411
"Escape room ""A Wizard's Journey"" by Great Escape Delaware in Newark",https://worldofescapes.com/newark-de/quests/great-escape-delaware-a-wizards-journey,"700 Capitol Trail, Newark, DE 19711","You are a wizard that has used your powers over the years for good and to save many people from evil.  As a result, you have managed to make some very powerful enemies along the way. You return home from a much needed vacation to find a message from the most evil of all of your enemies. He has captured your best friends and is holding them hostage at your old school. You have an hour to get there and save them before he turns them into more of his evil minions. Can you arrive in time and figure out how to vanquish your evil rival and save the day?",4-8,60,Difficult,None,,None,4,8,60 minutes,nan,2,None,"700 Capitol Trail, Newark, DE 19711, USA",39.6940946,-75.720108
"Escape room ""Sabotage - at home"" by EscapeSF in San Francisco",https://worldofescapes.com/sfbay/quests/escapesf-sabotage-at-home,Anywhere!,"High tech escape-game-in-a-box within San Francisco Bay Area. Previously only available to large groups, the Sabotage spy case game has been modified to be enjoyed by teams of 2-5 from the safety of your home. Optionally multiple game cases can be delivered for larger groups. Contact us for games over multiple households.
",2-5,75,Average,Not scary,10+,0.7,2,5,75 minutes,10,1,0,"1700 Westlake Ave N Suite 200, Seattle, WA 98109, USA",47.63450779999999,-122.3396029
"Escape room ""Mad Hatter's Tea Party"" by Escape Rooms Mesa in Phoenix",https://worldofescapes.com/phoenix/quests/escape-rooms-mesa-mad-hatters-tea-party,"86 W University Dr #100, Mesa, AZ 85201","The Mad Hatter has tricked you into the Red Queen's Tea Room because he wanted to know her secrets to health and beauty for the last 200 years. Now you must escape her mysterious room in an hour or it will be ""off with your head""!",2-10,60,Average,Not scary,13+,None,2,10,60 minutes,13,1,0,"86 W University Dr #100, Mesa, AZ 85201, USA",33.4226222,-111.8338024
"Escape room ""The Missing Remote"" by Don't Panic Just Escape in Hartford",https://worldofescapes.com/west-hartford/quests/dont-panic-just-escape-the-missing-remote,"281 Hartford Turnpike, Suite 404, Vernon, CT 06066",This room is based on the puzzles themselves and does not have a theme. Are you up for the challenge? Can you escape in 60 minutes?,2-5,60,Difficult,Not scary,,0.29,2,5,60 minutes,nan,2,0,"281 Hartford Turnpike #404, Vernon, CT 06066, USA",41.8269357,-72.4933739
"Escape room ""Paper Company"" by Dare 2 Escape in Orlando",https://worldofescapes.com/orlando/quests/dare-2-escape-paper-company,"5041 W Irlo Bronson Memorial Hwy Kissimmee, FL 34746","You and your team of the party planning committee have been hard at work all week getting the break room ready for a birthday. However, the office prankster had other ideas! You arrive a half hour before the staff to put the finishing touches on the room only to find it has been sabotaged! Deflated balloons, a stapler in jello, and a spilled pan of chili?! What in the schrute happened? You have 45 mins to unravel the mess, find the gifts and cake, and get this party back on track. If anyone can do it, it’s you and the party planning committee!

",2-8,60,Average,Not scary,,None,2,8,60 minutes,nan,1,0,"5041 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, USA",28.3336233,-81.4865513
"Escape room ""Potion Master's Apprentice"" by Mystery Mansion in Little Rock",https://worldofescapes.com/little-rock/quests/mystery-mansion-potions-masters-apprentice,"2122 S Broadway St, Little Rock, AR 72206","Isaac the Wise and Weird has started to see his age at 157 years old. He has created a trial for only the most talented, cunning, and brave Potion Master-wannabes for the title of Apprentice. The challenge is to beat his trials and prove yourself worthy of the title.  Each trial has it own mystery and magic within. 
",2-6,60,Average,Not scary,14+,None,2,6,60 minutes,14,1,0,"2122 Broadway St, Little Rock, AR 72206, USA",34.7278594,-92.2790211
"Escape room ""Submarine Survival"" by Breakout Games - Birmingham in Birmingham",https://worldofescapes.com/birm/quests/breakout-games-birmingham-submarine-survival,"2717 19th Pl S Homewood, AL 35209","Welcome aboard the USS Odyssey, a submarine searching for a legendary treasure that's been lost for centuries. Before running out of oxygen, you must unearth what past expeditions have failed to discover. Experience mystery and danger on this journey to the bottom of the ocean. Will you resurface with riches or perish in the depths?
",2-7,60,Difficult,Not scary,,None,2,7,60 minutes,nan,2,0,"2717 19th Pl S, Homewood, AL 35209, USA",33.4824702,-86.7881736
"Escape room ""Gallery 3919"" by Escapism in San Diego",https://worldofescapes.com/san-diego/quests/escapismsd-gallery,"3919 4th ave Suite A, San Diego CA 92103","You've received a mysterious invitation to a private viewing at one of the most prestigious art galleries in the city. Your mission, should you choose to accept it, would be to locate a valuable artifact hidden inside the gallery. The alarms will be down for 60 minutes. Will you choose to go?",2-12,60,Difficult,Not scary,12+,None,2,12,60 minutes,12,2,0,"3919 Fourth Ave Suite A, San Diego, CA 92103, USA",32.7486972,-117.1614383
